Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLWHP20160704The illegal : a novel / Lawrence Hill,EPLWHP,,4,The illegal : a novel / Lawrence Hill,HILL LAWRENCE,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20illegal%20%3A
EPLWHP20160711Good Dinosaur Junior Novelization (Disney  / by Disney  RH,EPLWHP,,4,Good Dinosaur Junior Novelization (Disney  / by Disney  RH,RH DISNEY,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=good%20dinosaur%20junior
EPLWHP20160711The nest / Cynthia D'Aprix Sweeney,EPLWHP,,14,The nest / Cynthia D'Aprix Sweeney,SWEENEY CYNTHIA DAPRIX,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nest%20/
EPLWHP20160711The hidden oracle / Rick Riordan,EPLWHP,,5,The hidden oracle / Rick Riordan,RIORDAN RICK,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20hidden%20oracle
EPLWHP20160711The widow / Fiona Barton,EPLWHP,,5,The widow / Fiona Barton,BARTON FIONA,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20widow%20/
EPLWHP20160711The high mountains of Portugal : a novel / Yann Martel,EPLWHP,,4,The high mountains of Portugal : a novel / Yann Martel,MARTEL YANN,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20high%20mountains
EPLWHP20160711Me before you / Jojo Moyes,EPLWHP,,17,Me before you / Jojo Moyes,MOYES JOJO,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=me%20before%20you
"EPLWHP20160711Big Nate. Thunka, thunka, thunka / by Lincoln Peirce",EPLWHP,,5,"Big Nate. Thunka, thunka, thunka / by Lincoln Peirce",PEIRCE LINCOLN,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate.%20thunka%2C
EPLWHP20160711Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,EPLWHP,,10,Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,ROWLING J K,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=harry%20potter%20and
EPLWHP20160711Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,EPLWHP,,4,Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,STILTON THEA,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=thea%20stilton%20and
EPLWHP20160711Barkskins : a novel / Annie Proulx,EPLWHP,,5,Barkskins : a novel / Annie Proulx,PROULX ANNIE,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=barkskins%20%3A%20a
EPLWHP20160711Good Dinosaur Junior Novelization (Disney  / by Disney  RH,EPLWHP,,4,Good Dinosaur Junior Novelization (Disney  / by Disney  RH,RH DISNEY,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=good%20dinosaur%20junior
EPLWHP20160711The nest / Cynthia D'Aprix Sweeney,EPLWHP,,14,The nest / Cynthia D'Aprix Sweeney,SWEENEY CYNTHIA DAPRIX,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nest%20/
EPLWHP20160711The hidden oracle / Rick Riordan,EPLWHP,,5,The hidden oracle / Rick Riordan,RIORDAN RICK,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20hidden%20oracle
EPLWHP20160711The widow / Fiona Barton,EPLWHP,,5,The widow / Fiona Barton,BARTON FIONA,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20widow%20/
EPLWHP20160711The high mountains of Portugal : a novel / Yann Martel,EPLWHP,,4,The high mountains of Portugal : a novel / Yann Martel,MARTEL YANN,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20high%20mountains
EPLWHP20160711Me before you / Jojo Moyes,EPLWHP,,17,Me before you / Jojo Moyes,MOYES JOJO,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=me%20before%20you
"EPLWHP20160711Big Nate. Thunka, thunka, thunka / by Lincoln Peirce",EPLWHP,,5,"Big Nate. Thunka, thunka, thunka / by Lincoln Peirce",PEIRCE LINCOLN,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate.%20thunka%2C
EPLWHP20160711Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,EPLWHP,,10,Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,ROWLING J K,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=harry%20potter%20and
EPLWHP20160711Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,EPLWHP,,4,Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,STILTON THEA,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=thea%20stilton%20and
EPLWHP20160711Barkskins : a novel / Annie Proulx,EPLWHP,,5,Barkskins : a novel / Annie Proulx,PROULX ANNIE,07/11/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=barkskins%20%3A%20a
"EPLWHP20160718Missing, presumed : a novel / Susie Steiner",EPLWHP,,6,"Missing, presumed : a novel / Susie Steiner",STEINER SUSIE OR 001972,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=missing%2C%20presumed%20%3A
EPLWHP20160718Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,EPLWHP,,4,Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,STILTON THEA,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=thea%20stilton%20and
EPLWHP20160718Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,EPLWHP,,11,Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,ROWLING J K,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=harry%20potter%20and
EPLWHP20160718The nest / Cynthia D'Aprix Sweeney,EPLWHP,,12,The nest / Cynthia D'Aprix Sweeney,SWEENEY CYNTHIA DAPRIX,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nest%20/
EPLWHP20160718First comes love : a novel / Emily Giffin,EPLWHP,,6,First comes love : a novel / Emily Giffin,GIFFIN EMILY,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=first%20comes%20love
EPLWHP20160718The hidden oracle / Rick Riordan,EPLWHP,,5,The hidden oracle / Rick Riordan,RIORDAN RICK,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20hidden%20oracle
EPLWHP2016071815th affair / James Patterson and Maxine Paetro,EPLWHP,,5,15th affair / James Patterson and Maxine Paetro,PATTERSON JAMES,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=15th%20affair%20/
EPLWHP20160718Barkskins : a novel / Annie Proulx,EPLWHP,,5,Barkskins : a novel / Annie Proulx,PROULX ANNIE,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=barkskins%20%3A%20a
EPLWHP20160718Me before you / Jojo Moyes,EPLWHP,,16,Me before you / Jojo Moyes,MOYES JOJO,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=me%20before%20you
EPLWHP20160718Scott ... standard postage stamp catalogue,EPLWHP,,6,Scott ... standard postage stamp catalogue,SCOTT PUBLISHING CO,07/18/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=scott%20...%20standard
EPLWHP20160725First comes love : a novel / Emily Giffin,EPLWHP,,6,First comes love : a novel / Emily Giffin,GIFFIN EMILY,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=first%20comes%20love
EPLWHP20160725Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,EPLWHP,,4,Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,STILTON THEA,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=thea%20stilton%20and
EPLWHP20160725Barkskins : a novel / Annie Proulx,EPLWHP,,6,Barkskins : a novel / Annie Proulx,PROULX ANNIE,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=barkskins%20%3A%20a
EPLWHP20160725The nest / Cynthia D'Aprix Sweeney,EPLWHP,,11,The nest / Cynthia D'Aprix Sweeney,SWEENEY CYNTHIA DAPRIX,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nest%20/
"EPLWHP20160725Missing, presumed : a novel / Susie Steiner",EPLWHP,,6,"Missing, presumed : a novel / Susie Steiner",STEINER SUSIE OR 001972,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=missing%2C%20presumed%20%3A
EPLWHP20160725Me before you / Jojo Moyes,EPLWHP,,14,Me before you / Jojo Moyes,MOYES JOJO,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=me%20before%20you
EPLWHP20160725Before the fall / Noah Hawley,EPLWHP,,4,Before the fall / Noah Hawley,HAWLEY NOAH,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=before%20the%20fall
EPLWHP20160725The widow / Fiona Barton,EPLWHP,,4,The widow / Fiona Barton,BARTON FIONA,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20widow%20/
EPLWHP20160725Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,EPLWHP,,12,Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,ROWLING J K,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=harry%20potter%20and
EPLWHP20160725Me before you / Jojo Moyes,EPLWHP,,14,Me before you / Jojo Moyes,MOYES JOJO,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=me%20before%20you
EPLWHP20160725The hidden oracle / Rick Riordan,EPLWHP,,6,The hidden oracle / Rick Riordan,RIORDAN RICK,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20hidden%20oracle
EPLWHP20160725First comes love : a novel / Emily Giffin,EPLWHP,,6,First comes love : a novel / Emily Giffin,GIFFIN EMILY,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=first%20comes%20love
EPLWHP20160725Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,EPLWHP,,4,Thea Stilton and the Hollywood hoax / text by Thea Stilton ; illustrations by Barbara Pellizzari and Chiara Balleello ; translated by Emily Clement,STILTON THEA,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=thea%20stilton%20and
EPLWHP20160725Barkskins : a novel / Annie Proulx,EPLWHP,,6,Barkskins : a novel / Annie Proulx,PROULX ANNIE,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=barkskins%20%3A%20a
EPLWHP20160725The nest / Cynthia D'Aprix Sweeney,EPLWHP,,11,The nest / Cynthia D'Aprix Sweeney,SWEENEY CYNTHIA DAPRIX,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nest%20/
"EPLWHP20160725Missing, presumed : a novel / Susie Steiner",EPLWHP,,6,"Missing, presumed : a novel / Susie Steiner",STEINER SUSIE OR 001972,07/25/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=missing%2C%20presumed%20%3A
