Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLRIV20150323The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLRIV,Riverbend Branch,22,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLRIV20150323Yes please / Amy Poehler,EPLRIV,Riverbend Branch,25,Yes please / Amy Poehler,Poehler Amy,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLRIV20150323The maze runner / James Dashner,EPLRIV,Riverbend Branch,29,The maze runner / James Dashner,Dashner James,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLRIV20150323All the light we cannot see : a novel / Anthony Doerr,EPLRIV,Riverbend Branch,29,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLRIV20150323The girl on the train / Paula Hawkins,EPLRIV,Riverbend Branch,88,The girl on the train / Paula Hawkins,Hawkins Paula,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLRIV20150330Ru / Kim Thauy ; translated from the French by Sheila Fischman,EPLRIV,Riverbend Branch,20,Ru / Kim Thauy ; translated from the French by Sheila Fischman,Thauy Kim,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=ru%20/%20kim
EPLRIV20150330Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLRIV,Riverbend Branch,21,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLRIV20150330Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLRIV,Riverbend Branch,22,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLRIV20150330The Rosie project / Graeme Simsion. --,EPLRIV,Riverbend Branch,22,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLRIV20150330The nightingale / Kristin Hannah,EPLRIV,Riverbend Branch,22,The nightingale / Kristin Hannah,Hannah Kristin,03/30/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nightingale%20/
